Wavelength,RH_S_P2,RH_DMSO_P2,LH_S_P3,LH_DMSO_P3,RH_P2,LH_P3
191.78,-3.48055797586963,-3.38895054397897,-0.8871052608506,-3.79749991278023,-1.83954922462082,0.112870349742095
192.26,-3.47806668522527,-3.39345705488413,-0.883152903309607,-3.79784822865053,-1.7934522821028,0.104316342840793
192.74,-3.47519192965455,-3.39750378042698,-0.879046638426344,-3.79783443832566,-1.74671522198944,0.0961073194828316
193.23,-3.4718725953739,-3.40117168782347,-0.874698075584965,-3.79745112720741,-1.69834379838113,0.0880652267066342
193.71,-3.46826133140328,-3.40432912510342,-0.870287790708019,-3.79672301780912,-1.65031717028232,0.080491191223609
194.19,-3.46431587818066,-3.40707811171324,-0.865732527342967,-3.79565768286323,-1.60166240619497,0.0731846140229432
194.67,-3.46006133115949,-3.40944534864111,-0.861037237348211,-3.79426902339794,-1.55238940856696,0.0661075211298373
195.16,-3.45542811700597,-3.4114985818539,-0.856105382238807,-3.79253369263266,-1.50146413448508,0.0590769581407325
195.64,-3.45063596125141,-3.41318580306544,-0.851144199544283,-3.79053930151401,-1.45097918719324,0.0523353128945451
196.12,-3.44562436398646,-3.41458424813745,-0.846059910691669,-3.78827089547186,-1.39991777310734,0.0456926208716214
196.6,-3.4404247823989,-3.41572516768116,-0.840857484604981,-3.78574526682246,-1.34829824846596,0.0391044743873367
197.09,-3.43495550895221,-3.41665695635956,-0.835429539139017,-3.78291870197901,-1.29505065916313,0.0323896571425196
197.57,-3.4294710442293,-3.41737362751205,-0.830002028305195,-3.77992278117327,-1.24237459419248,0.025778939181593
198.05,-3.42389051887919,-3.41792736649669,-0.824469634122654,-3.77671689050406,-1.18921672894199,0.019095972927739
198.53,-3.41823978974131,-3.41834806648037,-0.818836811804712,-3.77331370710437,-1.13560624410919,0.0123067933116811
199.01,-3.41254126265577,-3.41866463369606,-0.813108746720337,-3.76972414458862,-1.08157322235928,0.00538359043463852
199.5,-3.40669531260604,-3.41891072755348,-0.807169499871819,-3.76587874657487,-1.02601245665339,-0.00184687649988261
199.98,-3.40095894059392,-3.41910611879781,-0.801269031748288,-3.76194581619885,-0.97122739913518,-0.00911086781289458
200.46,-3.39522986865416,-3.41928661899379,-0.7952964937571,-3.75786108369149,-0.916125909457686,-0.01657382471714
200.94,-3.38952303181611,-3.41948260083031,-0.789263924393304,-3.75363800502707,-0.860747410607692,-0.0242536859215316
201.43,-3.38373349327665,-3.41973047329335,-0.783059279110354,-3.74919915051861,-0.803970755960476,-0.0323344963413385
201.91,-3.3781086764129,-3.42005166403935,-0.776953647039889,-3.74474206411784,-0.74815347985441,-0.0405025006565476
202.39,-3.37253923595952,-3.42048138264562,-0.770840789502973,-3.74019511349308,-0.692177201258354,-0.0489357773162795
202.87,-3.36703287701925,-3.42104990524543,-0.764742470802507,-3.73557730630131,-0.636079676418586,-0.0576499026896002
203.35,-3.36159590591637,-3.42178579182031,-0.758681679567144,-3.7309085603644,-0.579899079024141,-0.0666602418701312
203.84,-3.35612281096618,-3.42273603790638,-0.752557434646402,-3.72611031144329,-0.522500924032827,-0.0761794285072029
204.32,-3.35084049239224,-3.42388296439809,-0.746642616374884,-3.72139660320217,-0.466263450613236,-0.0858329151485577
204.8,-3.34563738715005,-3.42525891968686,-0.740832766691974,-3.71668545055102,-0.41004736287197,-0.0958222418743568
205.28,-3.34051143804438,-3.42687465275258,-0.735147460619463,-3.71199075163521,-0.353882146289091,-0.106154842048291
205.76,-3.33545715043124,-3.42873584647824,-0.72960404766623,-3.70732351235531,-0.29779415770631,-0.116833012926179
206.25,-3.33036310759112,-3.43089122887341,-0.724107454395096,-3.70259684937388,-0.240643131501487,-0.128087833571713
206.73,-3.32542739452808,-3.43325266010417,-0.718896105065202,-3.69801185259466,-0.184786781725216,-0.139454254723194
207.21,-3.32053427254112,-3.43585979150235,-0.713868826016227,-3.69347896752218,-0.129082352605995,-0.151149774642068
207.69,-3.31567116079181,-3.43870942898519,-0.709037127236652,-3.68900487723965,-0.0735547402981904,-0.16316263398716
208.17,-3.31082461917484,-3.44179743740138,-0.7044116419286,-3.68459588124504,-0.0182286409587841,-0.175479290052121
208.65,-3.30598098545574,-3.44512042293861,-0.700002649546077,-3.68025918410352,0.0368712845034083,-0.188086380904631
209.14,-3.30102484887515,-3.44875235220936,-0.695735654466882,-3.67591519094305,0.0928601682548847,-0.201241769779921
209.62,-3.29614397375157,-3.45254346067488,-0.691794919647951,-3.67175011101517,0.147427604678866,-0.214395087287706
210.1,-3.29122256406418,-3.45656467527327,-0.688100219654245,-3.66768239589362,0.201694779917786,-0.227799155947225
210.58,-3.28624545564845,-3.46081400796021,-0.684659772135912,-3.6637182752607,0.255639339282351,-0.241440044177884
211.06,-3.28119694682355,-3.46528841039955,-0.681480717207262,-3.65986278481059,0.309239424714419,-0.255303510820699
211.54,-3.276059687953,-3.46998144686737,-0.678568026069971,-3.65611829082319,0.362475414612539,-0.269372751933239
212.03,-3.27070294649786,-3.47498537819664,-0.675871348321262,-3.65240856435312,0.416428570049897,-0.283924607186604
212.51,-3.26532062765519,-3.48007557770441,-0.67349896489695,-3.64887705530518,0.468886168143728,-0.298335079487286
212.99,-3.25977470539679,-3.48532381529912,-0.671387558447262,-3.64543241491729,0.520948772311739,-0.312860800298951
213.47,-3.25402797708625,-3.49069177237745,-0.669527545554816,-3.64205252170029,0.572619245169423,-0.327451450745795
213.95,-3.24803556495944,-3.49612937574909,-0.667905226955865,-3.6387067258055,0.623908973240179,-0.342042201128588
214.43,-3.24174532738602,-3.5015754126966,-0.666502944006756,-3.63535641775289,0.674837477188573,-0.356554378328411
214.91,-3.2350983496991,-3.50695855342653,-0.665299668627589,-3.63195666836463,0.725432076737852,-0.3708964224195
215.4,-3.22787742577004,-3.51230567165506,-0.664251880898651,-3.62838353733461,0.776771900855825,-0.385254679651071
215.88,-3.22030404679478,-3.51730712720625,-0.663375095053865,-3.62472704408316,0.826804782075523,-0.398925678023069
216.36,-3.21215592755714,-3.52197285152642,-0.662615996799427,-3.62085414345287,0.876635042832036,-0.412076125020603
216.84,-3.20334545391453,-3.5261898992039,-0.661941275241201,-3.61669618443461,0.926328428856094,-0.424561752075057
217.32,-3.19377634884381,-3.52983213985762,-0.661314486501904,-3.61217660012994,0.975964513664607,-0.43622281715949
217.8,-3.18334320348392,-3.53275979411888,-0.660695145183131,-3.6072108020178,1.02563792357111,-0.446884108880499
218.28,-3.17193042205867,-3.53481651611073,-0.660037674175172,-3.60170479741335,1.07546059845622,-0.456354461879506
218.76,-3.15941014015885,-3.53582781880088,-0.659290071350293,-3.59555359693495,1.12556379167639,-0.464425404609813
219.25,-3.14533669006874,-3.53557671935373,-0.658370517065882,-3.58848462974287,1.17716125744064,-0.470982485556012
219.73,-3.13011645360324,-3.53384372611345,-0.657243114849821,-3.58064608350357,1.2283343186641,-0.475497657916662
220.21,-3.11328659349896,-3.53037757937252,-0.655805858176741,-3.57174154745529,1.28034912662079,-0.477834268143173
220.69,-3.09462960816705,-3.5248767354523,-0.65395907589424,-3.56158276598669,1.33346749202223,-0.477664049641864
221.17,-3.07389639765984,-3.51699348281863,-0.651586252197513,-3.54995012501692,1.38800113838003,-0.474615502178314
221.65,-3.05080202263069,-3.50632738908553,-0.648550528937008,-3.53658734198583,1.44432168245416,-0.46826933593217
222.13,-3.02502187534164,-3.49241899900161,-0.644690234904701,-3.52119585790342,1.50287498550909,-0.458156473148442
222.61,-2.99619040898238,-3.47474325090666,-0.63981355907181,-3.50342640659413,1.56419695150189,-0.44375745760365
223.09,-2.9639025352847,-3.45270450674883,-0.63369339213853,-3.48287065743069,1.6289315834419,-0.424505696803884
223.57,-2.92772660617526,-3.42564355741514,-0.626063077630396,-3.45905957563598,1.69784436366753,-0.399806321497931
224.05,-2.88723378263801,-3.39285878961803,-0.616614122972252,-3.43146873049889,1.77182810521748,-0.369074505715807
224.54,-2.84106171681584,-3.35276925375321,-0.60473174417257,-3.39882538172719,1.85362612903817,-0.330962278308565
225.02,-2.79088214010167,-3.30641719010819,-0.590520381613921,-3.36191165719672,1.94097941654464,-0.286734666394189
225.5,-2.7359094802242,-3.25273977025259,-0.573387503684905,-3.31967765004709,2.03649679097467,-0.23580488900439
225.98,-2.67679748865323,-3.1919433467161,-0.553011930910821,-3.27196176845386,2.14092079091463,-0.178977066700071
226.46,-2.60904544773917,-3.11949543660445,-0.528378399726965,-3.19023636913778,2.2501678391189,-0.115835623706907
226.94,-2.54128772144247,-3.04573301593446,-0.502869811757442,-3.10539651731568,2.36022973130247,-0.0534025055709155
227.42,-2.47405282157399,-2.97131473710689,-0.476641651183393,-3.0179136267792,2.47045952121006,0.00744410934655319
227.9,-2.40777545267232,-2.8968166536721,-0.449831561533007,-2.92819691269998,2.58025213522971,0.0659811331555701
228.38,-2.34279808627301,-2.8227163748344,-0.422564208876097,-2.83658509839859,2.68906604096464,0.121662872050707
228.86,-2.27942854884235,-2.74932246665887,-0.394844968987131,-2.74383670527644,2.79693954689816,0.174319771188358
229.34,-2.21776738840623,-2.67705543137984,-0.367005540335133,-2.64923133261408,2.90245766096433,0.223338915903735
229.82,-2.15801056131926,-2.60613100814277,-0.339098445263169,-2.55351289147654,3.00563104439717,0.268740576552421
230.3,-2.10023994798665,-2.53677403146223,-0.31128231081502,-2.45691683473656,3.10606281018258,0.310451324362935
230.78,-2.04448845148436,-2.46920177246486,-0.283739507149969,-2.35967799501884,3.20338138076216,0.348437281193058
231.26,-1.99075124628211,-2.40363477745232,-0.256673650013804,-2.26204496999935,3.29724493586597,0.382688304117239
231.74,-1.93901777712778,-2.34008885911229,-0.230031688233764,-2.16457546945528,3.3882718684878,0.413538514365502
232.22,-1.88920581794671,-2.2791822070188,-0.204554692333288,-2.06694708483536,3.47437715241975,0.440293867697284
232.7,-1.84129031491826,-2.22094682143445,-0.180209826827354,-1.96980627726849,3.55617020657137,0.463233584659585
233.18,-1.79523714885544,-2.16559658873623,-0.157201481664624,-1.87349831493748,3.63340560910737,0.482279641953903
233.66,-1.75101087178,-2.11331142871273,-0.135709567171533,-1.77836922266331,3.70587422513098,0.497348545105087
234.15,-1.70768447441,-2.06298883280323,-0.11515544785729,-1.68292356753322,3.77587240734029,0.508986729501984
234.63,-1.6669296522952,-2.01694217308581,-0.0968008335943175,-1.59114110663832,3.8394597127216,0.516355402926112
235.11,-1.62771476808981,-1.97424290375884,-0.0805755407763604,-1.5011578121457,3.89700202611474,0.519448982986591
235.59,-1.5898602962337,-1.93446162932664,-0.0661293556196358,-1.41320433728121,3.94969010849073,0.518928584926828
236.07,-1.55317135773775,-1.89726586337503,-0.0533879726367345,-1.32730478556994,3.99770109178995,0.515180088485511
236.55,-1.51744673051888,-1.86221128499009,-0.0422410982970511,-1.24340787423058,4.04127386933517,0.50869934161104
237.03,-1.48249354911905,-1.82872920307516,-0.0323709628906443,-1.16149415456797,4.08171907627373,0.500292172871031
237.51,-1.44814941253935,-1.79645812554795,-0.0240385461831746,-1.08131562466975,4.11723583841532,0.490041501674213
237.99,-1.41429515707834,-1.76479175059183,-0.0168718927020887,-1.00283291843975,4.14921963181919,0.478859733491761
238.47,-1.3808673686869,-1.73329131403093,-0.0107300969814528,-0.925945312012748,4.17800487214838,0.46735356100241
238.95,-1.34786106475261,-1.70162218919869,-0.00549068254702925,-0.850579466555141,4.20390414420997,0.456056483968224
239.43,-1.31534235968595,-1.66978482195178,-0.00107258785705174,-0.776838630898807,4.22795488962594,0.445219058850277
239.91,-1.28336687208038,-1.63728938453814,0.00259421846197707,-0.704433750929251,4.24875612741693,0.435392089325751
240.39,-1.25210376666478,-1.60429265260742,0.00557969533463775,-0.633483787647398,4.26728407652979,0.42666091437376
240.87,-1.22173031573314,-1.5708760649557,0.00793050850836828,-0.563983079644166,4.28363748819607,0.41906627293245
241.34,-1.19303702047379,-1.53789555355743,0.00966929801422763,-0.497321024929053,4.29760502374586,0.412671626970356
241.82,-1.16499737380311,-1.50415536428734,0.0109434487007472,-0.430626281127145,4.30980717398177,0.407072402268154
242.3,-1.13840139773117,-1.47056737525646,0.01181800005893,-0.365237007530027,4.31995883099281,0.402281259420417
242.78,-1.11336020359517,-1.4373075996889,0.0124257827317365,-0.300974979971575,4.32812635257101,0.398214193922368
243.26,-1.08992508674037,-1.40448246402499,0.0129272563561078,-0.237575191541827,4.33442275340363,0.394871939561967
243.74,-1.0680157908155,-1.37273587297282,0.013190120327511,-0.175057148821726,4.33907192176829,0.391559653579861
244.22,-1.04769840773672,-1.34081121553209,0.0140361650765141,-0.112329783473096,4.34209546972658,0.390034959190306
244.7,-1.02881387468089,-1.30918860637418,0.0153938872229563,-0.0493117251753497,4.34385332133882,0.389880644905661
245.18,-1.01123230771324,-1.27773224770018,0.0174861219228048,0.0143962194219332,4.34457498599277,0.391508100460256
245.66,-0.994656484095028,-1.24688281338899,0.0201402320551718,0.0787498543155337,4.34433103311378,0.394494787524132
246.14,-0.979182056225471,-1.21516051519897,0.0243645774680921,0.144965099713479,4.3437544135932,0.401251695996266
246.62,-0.964533057889627,-1.18303509777962,0.0299555112455724,0.212910339784601,4.34296616243302,0.411407991516484
247.1,-0.950326859392001,-1.15087319642502,0.03664678220207,0.2824123453083,4.34193548109666,0.424546504338092
247.58,-0.936900979149943,-1.1174841836064,0.0453967827518633,0.354447835669628,4.34149442111008,0.442974164860195
248.06,-0.923988201699788,-1.08336478839448,0.0558787993980974,0.428674487164563,4.34158301423069,0.466079022175154
248.54,-0.911542739379632,-1.04849067018306,0.0681727936018003,0.505112690107452,4.34237554741392,0.494084961804338
249.02,-0.899098658206599,-1.01305064074967,0.0819683854952679,0.58351819289112,4.34372955637706,0.526388201889055
249.5,-0.887392294659928,-0.976483764728922,0.0981514834560813,0.664414595365881,4.34645001092899,0.564669588411363
249.98,-0.875987926850624,-0.939006126432062,0.11642538152468,0.74752534056792,4.35041470173755,0.608196099182291
250.46,-0.864821992911487,-0.900507071707267,0.136903758872888,0.832883219804773,4.3558421092304,0.657023925839712
250.93,-0.854058268204996,-0.861700805206386,0.159203505120626,0.918674831251005,4.36278848984361,0.709991733939976
251.41,-0.843169457179504,-0.820790985341462,0.184392691784311,1.00858833900886,4.37177543702367,0.769365176344383
251.89,-0.832308680555484,-0.778421667726594,0.212138230807991,1.10085265127719,4.38289882460771,0.834088571351331
252.37,-0.820747209029052,-0.734067641475165,0.24221689480248,1.19564895063807,4.39623141865251,0.903836571226722
252.85,-0.809704799484526,-0.688206673995197,0.27533572850876,1.29264436161737,4.41218155645704,0.979295963808625
253.33,-0.79852072246369,-0.64045548763596,0.311172206660557,1.39184428764183,4.43068550754888,1.06000987628745
253.81,-0.787223714175754,-0.590776825807019,0.349661766005527,1.49305532442999,4.4517584333259,1.14582423029589
254.29,-0.775201341169929,-0.53863858425374,0.390407438654735,1.59643074655637,4.47534170623031,1.23635895934601
254.77,-0.764012314432052,-0.485332951354378,0.433714508643643,1.70075486536948,4.5012895694156,1.33148725120287
255.25,-0.753154236642977,-0.430580152926597,0.47904332339162,1.80592988150048,4.52934281024193,1.43050671390642
255.73,-0.742142204213202,-0.373990228088213,0.525910831704692,1.91206527031434,4.55927593918005,1.53280930521102
256.2,-0.733525613470738,-0.319288612704525,0.573490090995379,2.01442335379863,4.58980293794235,1.63534849069452
256.68,-0.72503205819393,-0.262354709260999,0.622917953264774,2.11875567594575,4.62205513013544,1.74186741647649
257.16,-0.717144763921617,-0.204700199149796,0.67292695039792,2.22243956965973,4.65500094826004,1.84957569784626
257.64,-0.711420107826066,-0.148275359969713,0.723393111300883,2.32327117613388,4.68795552465435,1.95744758348178
258.12,-0.707334576840564,-0.0926711047355699,0.773884843845333,2.42147713054658,4.72061266508667,2.06492692916382
258.6,-0.704421083735894,-0.0374536259902864,0.824105685805919,2.51751140321341,4.75268971734484,2.17161385736064
259.08,-0.703897382143468,0.0155353678156742,0.873866818769593,2.60903998416764,4.78351160122455,2.27650976698982
259.56,-0.705151168068008,0.0668050604987201,0.922916320324147,2.69658749092635,4.81282115909485,2.37933209093655
260.03,-0.708075229726025,0.11506413865052,0.97006777430083,2.77808845633339,4.83965794181892,2.4775526788326
260.51,-0.712765446737526,0.162051600176901,1.01714057128016,2.85664300456495,4.86476093582053,2.57489913182127
260.99,-0.719169561658625,0.206325496529214,1.06292564675073,2.93006902704662,4.88709917709206,2.66874963933959
261.47,-0.726962927825452,0.248043980125113,1.10733335947062,2.99903578335076,4.90630494769978,2.75875146868361
261.95,-0.736842469484365,0.285494623011451,1.14996751128383,3.0609417689368,4.92185245742176,2.84388588840056
262.43,-0.748474200659142,0.318815127198176,1.19071940860519,3.11640158457587,4.93346018755809,2.92368492170191
