Wavelength,RH_R_P3,RH_DMSO_P3,LH_R_P1,LH_DMSO_P1,RH_P3,LH_P1
191.78,-0.00461290771661265,-3.09381067473686,0.534345716309021,1.34547520644457,4.29713805330932,0.355970518389211
192.26,-0.0227259160333954,-3.07813766154799,0.527911384851081,1.31684084500942,4.24549314748848,0.314470846135066
192.74,-0.0402077125821456,-3.06260759690043,0.521413100466884,1.28831471418877,4.19397563563055,0.273687987906247
193.23,-0.0574014481544122,-3.04690086179522,0.514715657409708,1.25931640511868,4.14151402305668,0.232809302538559
193.71,-0.0736095680985213,-3.03165695663503,0.50809651283597,1.23104087332023,4.09024710250787,0.193513875274806
194.19,-0.0891994809724553,-3.01655098986364,0.501425030127543,1.20290686504929,4.03909828562975,0.154967287334554
194.67,-0.104184880077014,-3.0015784688969,0.494707324361203,1.17492592710796,3.9880608399128,0.117173753845936
195.16,-0.118876311805585,-2.9864259379851,0.487808239739938,1.14653204988744,3.93606657617739,0.0793717305628637
195.64,-0.132692675477821,-2.97170597073703,0.481015032703641,1.11889575217141,3.88522650567545,0.0431039075334006
196.12,-0.145957323290827,-2.95710212791648,0.474191761370899,1.09144629611271,3.83446436257023,0.0075869162455735
196.6,-0.158686575197858,-2.94260849695414,0.467341798052925,1.06419320425171,3.78376301186467,-0.0271868538188533
197.09,-0.171144292736151,-2.92792004252558,0.460323224480146,1.03658298011023,3.73204898300643,-0.0619301872240461
197.57,-0.182836257633453,-2.91362896072532,0.453421478728121,1.00974905913163,3.68141387845073,-0.0952388667870053
198.05,-0.194034844990747,-2.89942604132366,0.446490379104396,0.983129873281764,3.63078251371878,-0.127844755798282
198.53,-0.204751375760283,-2.88530154048073,0.439524347128848,0.956727502836198,3.58013501298655,-0.159762446799406
199.01,-0.214995629485928,-2.87124434976533,0.432515950480175,0.930542900146234,3.52945058591908,-0.191005119958341
199.5,-0.22497449695625,-2.85695094141452,0.425308610377601,0.90403789337067,3.47765046656807,-0.222215246537431
199.98,-0.23428816638727,-2.84299146799663,0.418186946183126,0.878294966884753,3.4268278292676,-0.252130885585049
200.46,-0.243152455287416,-2.82905998780665,0.410995010544984,0.852771576268024,3.37590581033025,-0.281408054886193
200.94,-0.251575350921713,-2.81514221158502,0.403723978339043,0.827468775899283,3.32486530377311,-0.310059533455427
201.43,-0.259727647430153,-2.80093388954739,0.396211900395936,0.801867940742062,3.27262047338744,-0.338676231171167
201.91,-0.267285636235896,-2.78700153380528,0.388758551508782,0.777015800003899,3.22128666069309,-0.366104144201643
202.39,-0.274428874086228,-2.77304436801464,0.381206440672546,0.752389543383333,3.1697828150006,-0.392948443914173
202.87,-0.281165797542173,-2.75905455520078,0.373551968731718,0.72799087730287,3.11809306837104,-0.419226343831307
203.35,-0.287505008479373,-2.74502747910175,0.365792587888202,0.703821685248033,3.06620232113847,-0.444956889170574
203.84,-0.293575179478336,-2.73066850325566,0.357761442623321,0.679387653563011,3.01300893962339,-0.470681201452438
204.32,-0.299137371683889,-2.71656620507337,0.3497845438753,0.655688028908806,2.96067196523954,-0.495372629647438
204.8,-0.304327409715207,-2.70243383848002,0.341697029194967,0.632222946199012,2.9080979398368,-0.519585001457055
205.28,-0.309151754549752,-2.68828042673185,0.333495432082395,0.608992483142272,2.85527896129531,-0.543341676407939
205.76,-0.313615253683161,-2.67411765240631,0.325174949367187,0.585995830091638,2.80220838063407,-0.566665297291862
206.25,-0.317802702637238,-2.65966400496435,0.316551559988289,0.562759779604913,2.74776652440065,-0.590050679228894
206.73,-0.321545038812638,-2.64552387629747,0.307968667460186,0.54023146853323,2.69417063343791,-0.612563716127547
207.21,-0.324933133300202,-2.63141637202376,0.299241978765541,0.517933743805559,2.64030847381642,-0.634703960558812
207.69,-0.327969594907891,-2.61735455131784,0.290360535846141,0.495867330226126,2.58617787029322,-0.656486474327867
208.17,-0.33065803843554,-2.60335041893538,0.281312905391103,0.474034454859372,2.53177807152346,-0.677923598712091
208.65,-0.333002762992594,-2.58941509920621,0.272087629056726,0.452438666314523,2.4771101747242,-0.699026375288969
209.14,-0.335047488902551,-2.57527099707751,0.26247594215417,0.430642623477852,2.42102945796086,-0.720234482986095
209.62,-0.336715225890524,-2.56150456617782,0.252860624178233,0.409541572418026,2.36582863705603,-0.740692940642825
210.1,-0.338058630720373,-2.54783465703039,0.243039372666878,0.388694582222357,2.31037161079002,-0.760848940443031
210.58,-0.339085875416594,-2.53426994466245,0.233005721566922,0.368108760369278,2.25466651236068,-0.780713989994537
211.06,-0.339805085652847,-2.52082000265703,0.22275437113175,0.347791301173163,2.19872507345235,-0.800300326914081
211.54,-0.34022444745034,-2.50749601621652,0.212281202351644,0.327748941129982,2.14256273542049,-0.819620968963701
212.03,-0.340350740911974,-2.49403758905402,0.201357601988519,0.307577937818229,2.08502293637454,-0.839084980300852
212.51,-0.340184872955927,-2.4810086498864,0.190426447177713,0.28810459262738,2.02847876293782,-0.857913496395414
212.99,-0.339735804512245,-2.46814899751773,0.179264407870184,0.268914552387372,1.97178637617386,-0.876523265286028
