iter	RMSE
0	0.6048409572
1	0.5839061167
2	0.5657638085
3	0.5485417237
4	0.5330323781
5	0.5171370915
6	0.5008030841
7	0.4899323553
8	0.4748622303
9	0.4641852951
10	0.4539268984
11	0.4472029628
12	0.4365501899
13	0.4279080483
14	0.4206088718
15	0.4119634627
16	0.4052759237
17	0.3979783824
18	0.3928335167
19	0.3859203992
20	0.3811687418
21	0.3746425708
22	0.3706658504
23	0.3651132995
24	0.3610765581
25	0.3553106776
26	0.3508931902
27	0.3454812761
28	0.3404530172
29	0.3343649747
30	0.3312009909
31	0.3278970779
32	0.3255095227
33	0.3218616643
34	0.319633477
35	0.315148423
36	0.3110197366
37	0.3073360846
38	0.3019427788
39	0.2996307505
40	0.2960759481
41	0.2914477689
42	0.2884856894
43	0.285392748
44	0.2851743183
45	0.2827195305
46	0.2825930535
47	0.279826766
48	0.2784115793
49	0.2767895688
50	0.2738142861
51	0.2719711209
52	0.2709581555
53	0.2686445166
54	0.2667377474
55	0.2637451797
56	0.2626139113
57	0.2604029924
58	0.258045442
59	0.2562350345
60	0.2549515322
61	0.2543446116
62	0.2525036496
63	0.2505838706
64	0.248572288
65	0.2448597758
66	0.243518106
67	0.2410667593
68	0.2397952194
69	0.2373578283
70	0.2368820774
71	0.2351430395
72	0.2327391734
73	0.2289250281
74	0.2257033397
75	0.225051429
76	0.2235703967
77	0.2217121151
78	0.2205674616
79	0.2202934499
80	0.2188460885
81	0.2179841163
82	0.2163745616
83	0.215329802
84	0.2148828009
85	0.2141376586
86	0.2128547966
87	0.2113772654
88	0.2103439577
89	0.2075643257
90	0.2061851823
91	0.2053683808
92	0.2047883856
93	0.203863389
94	0.2012852648
95	0.2003115575
96	0.2001564397
97	0.1993874441
98	0.1977385694
99	0.1968861481
100	0.1962058077
101	0.1943503566
102	0.193688715
103	0.19166489
104	0.1909526054
105	0.1893482868
106	0.1883285426
107	0.1877353776
108	0.1867385289
109	0.1861706978
110	0.1853401976
111	0.1842270346
112	0.1827764012
113	0.1820996062
114	0.1814424126
115	0.1807860725
116	0.1788485708
117	0.1778327903
118	0.1765586452
119	0.1758521131
120	0.1745687749
121	0.1740296745
122	0.1729625621
123	0.1722850951
124	0.1710282353
125	0.170217386
126	0.1693349832
127	0.1688959283
128	0.1678267156
129	0.1676505119
130	0.1670736058
131	0.1659562192
132	0.1649710209
133	0.1645763446
134	0.1640292697
135	0.1627001459
136	0.1621604933
137	0.1617489301
138	0.1612299082
139	0.160824511
140	0.1604554276
141	0.1590091461
142	0.158518459
143	0.1570188565
144	0.1562191548
145	0.1555608029
146	0.1551032578
147	0.1546666475
148	0.1535661278
149	0.1528108853
150	0.1523190925
151	0.1513827614
152	0.1508116753
153	0.150207227
154	0.1492026472
155	0.1488641583
156	0.1481603442
157	0.1475401743
158	0.1468606394
159	0.1459932488
160	0.1452318267
161	0.1443344382
162	0.1437450448
163	0.1432711548
164	0.142312217
165	0.1413520736
166	0.1407135696
167	0.1400658932
168	0.1397772762
169	0.1392053727
170	0.1387914952
171	0.1384274841
172	0.1376031967
173	0.1367985287
174	0.1365142449
175	0.1357472284
176	0.1346868919
177	0.1340730246
178	0.1333086239
179	0.1322510071
180	0.1319333596
181	0.1316866164
182	0.1308864072
183	0.1301191857
184	0.1294279247
185	0.1292931966
186	0.1290147112
187	0.1287957114
188	0.1281494352
189	0.1278961301
190	0.127747322
191	0.1269964187
192	0.126320945
193	0.1257858113
194	0.1251470329
195	0.1246717576
196	0.1240495314
197	0.123595622
198	0.1230719113
199	0.1223917033
200	0.1218710989
201	0.1213949618
202	0.1207437416
203	0.1203059755
204	0.1196959537
205	0.1193108204
206	0.1188574699
207	0.1183102409
208	0.1180831324
209	0.1175397629
210	0.1170511438
211	0.1167188764
212	0.1162764954
213	0.1161543973
214	0.1154853006
215	0.1149288698
216	0.1146263607
217	0.1141935533
218	0.1135804296
219	0.11300905
220	0.1124122517
221	0.1119610317
222	0.1115734616
223	0.1112067968
224	0.1107268791
225	0.1102178284
226	0.1100395102
227	0.1096120758
228	0.1092180861
229	0.1088149884
230	0.1082790425
231	0.1081996644
232	0.1078564861
233	0.1073278245
234	0.1067928531
235	0.1063682222
236	0.1059639593
237	0.1055958292
238	0.1053043913
239	0.1046560139
240	0.1039673774
241	0.1036507535
242	0.1032642699
243	0.102923335
244	0.1024494281
245	0.1019478651
246	0.1015516903
247	0.1009015942
248	0.1004205125
249	0.1001191064
250	0.0996478938
251	0.09931545462
252	0.09900848674
253	0.09866546101
254	0.09830351671
255	0.09789894611
256	0.09760834447
257	0.09731796732
258	0.09701404257
259	0.09672091888
260	0.0964687036
261	0.09599372213
262	0.09563247397
263	0.09500463103
264	0.09466485809
265	0.09457946738
266	0.09439827161
267	0.0940735375
268	0.09359939142
269	0.0932235843
270	0.09303819933
271	0.09268146288
272	0.09213928741
273	0.09162494406
274	0.09131278496
275	0.09098792978
276	0.0907503473
277	0.090566101
278	0.08999678368
279	0.08970716236
280	0.08912681393
281	0.08880496262
282	0.08870719342
283	0.08860082398
284	0.08826235985
285	0.08806784968
286	0.08784420432
287	0.08762410863
288	0.08753671305
289	0.08718931169
290	0.08704821702
291	0.0869600381
292	0.08666348324
293	0.08635263814
294	0.08606523509
295	0.08601438467
296	0.08575762678
297	0.08547164998
298	0.08525943667
299	0.08489746944
